Risk_ID,Risk_Title,RMS_Stage,Qualitative_Rating,Quantitative_Score,Recommended_Response,Monitoring_Action,Owner,QA_Reviewer,Response_Category
R001,Tower Collapse,Risk Identification,Major,9,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Site Engineer,QA Lead,
R002,Soil Instability,Risk Identification,Moderate,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Project Manager,QA Lead,
R003,Load Failure Risk,Risk Identification,Major,9,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Design Lead,Compliance Officer,
R004,Retrofit Delay,Risk Identification,Minor,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Procurement Officer,PMO Reviewer,
R005,QA Flagging Gaps,Risk Identification,Moderate,4,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,QA Lead,QA Lead,
R006,Missing Geotech Logs,Risk Identification,Minor,2,Document and monitor as part of standard QA.,Review at phase gates.,QA Lead,QA Lead,Monitor
R007,Access Route Conflict,Risk Identification,Moderate,4,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Site Planner,QA Lead,
R008,Permit Delay Risk,Risk Identification,Minor,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Project Manager,QA Lead,
R009,Material Shortage,Risk Identification,Moderate,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Procurement Officer,QA Lead,
R010,Safety Hazard,Risk Identification,Major,9,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,HSE Officer,QA Lead,
R011,Design Ambiguity,Qualitative Risk Analysis,Moderate,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Design Lead,QA Lead,
R012,Unclear Specifications,Qualitative Risk Analysis,Moderate,4,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Procurement Officer,QA Lead,
R013,Stakeholder Misalignment,Qualitative Risk Analysis,Minor,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Project Manager,QA Lead,
R014,Resource Shortage,Qualitative Risk Analysis,Moderate,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,HR Manager,QA Lead,
R015,Communication Gap,Qualitative Risk Analysis,Moderate,4,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,PMO Officer,QA Lead,
R016,Design Change Risk,Qualitative Risk Analysis,Minor,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Design Lead,QA Lead,
R017,Inspection Delay,Qualitative Risk Analysis,Moderate,4,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,QA Lead,QA Lead,
R018,Vendor Reliability Risk,Qualitative Risk Analysis,Moderate,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Procurement Officer,QA Lead,
R019,Schedule Compression,Qualitative Risk Analysis,Minor,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Project Manager,QA Lead,
R020,Access Restriction,Qualitative Risk Analysis,Moderate,4,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Site Planner,QA Lead,
R021,Cost Overrun Risk,Quantitative Risk Analysis,Major,9,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Project Manager,QA Lead,
R022,Delay Probability,Quantitative Risk Analysis,Minor,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,PMO Officer,QA Lead,
R023,Failure Likelihood,Quantitative Risk Analysis,Moderate,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Procurement Officer,QA Lead,
