Risk ID,Risk Title,Risk Description,Risk Category,Sub-Category,Sector,Department / Unit,Project Name,Project Code,Project Phase,Process Group,Risk Owner,Stakeholder Group,Date Identified,Probability Rating,Impact Rating,Risk Score,Qualitative Notes,Quantitative Notes,Mitigation Strategy,Contingency Plan,Status,Review Date,Monitoring Method,Control Method,Documentation Link,Lessons Learned,Source (Primary / Secondary),Data Quality Flag,Primary RMS Step,RMS Step: Identification,RMS Step: Analysis – Qualitative,RMS Step: Analysis – Quantitative,RMS Step: Response Planning,RMS Step: Monitoring,RMS Step: Controlling,RMS Step: Documentation
R001,Permit approval delay,Municipal permit takes longer than expected,Requirements,Regulatory,Network Infrastructure,SAQ Team,Metro Fiber Expansion,NFX-001,Requirements,Initiating,SAQ Lead,Municipal Authority,Week 1,High,High,9,Authority backlog noted,,Follow up with authority,Adjust schedule,Open,Week 2,Permit tracking,Regulatory enforcement,https://docs.example.com/permit-delay,Similar delay in 2023,Primary,High,Risk Identification,?,,,,,?,
R002,Landowner dispute,Landowner refuses site access,Requirements,Legal,Network Infrastructure,SAQ Team,Metro Fiber Expansion,NFX-001,Requirements,Initiating,SAQ Lead,Landowner,Week 1,High,High,9,Dispute raised during negotiation,,Engage legal team,Identify alternate site,Open,Week 2,Stakeholder meeting,Legal enforcement,https://docs.example.com/land-dispute,Case in 2021,Primary,High,Risk Identification,?,,,,,?,
R003,Environmental clearance rejection,Environmental permit denied due to protected zone,Requirements,Environmental,Network Infrastructure,SAQ Team,Metro Fiber Expansion,NFX-001,Requirements,Planning,SAQ Lead,Environmental Authority,Week 2,High,High,9,Protected area identified,,Relocate site,Apply for exemption,Open,Week 3,Permit tracking,Environmental compliance,https://docs.example.com/env-clearance,Similar in 2020,Primary,High,Response Planning,,?,?,?,,?,
R004,Utility conflict,Existing utilities obstruct planned route,Requirements,Regulatory,Network Infrastructure,SAQ Team,Metro Fiber Expansion,NFX-001,Requirements,Planning,SAQ Lead,Utility Company,Week 3,Medium,High,6,Conflict found in utility maps,,Coordinate reroute,Negotiate relocation,Open,Week 4,Utility mapping,Coordination control,https://docs.example.com/utility-conflict,Utility conflict in 2022,Primary,Medium,Analysis – Qualitative,,?,,,,?,
R005,Trench collapse risk,Unstable soil conditions in excavation area,Construction,Physical,Network Infrastructure,Civil Works Team,Metro Fiber Expansion,NFX-001,Implementation,Executing,Civil Supervisor,Contractor,Week 5,High,High,9,Geotechnical report shows instability,,Shoring plan,Deploy trench boxes,Open,Week 6,Site inspection,Safety enforcement,https://docs.example.com/trench-collapse,Incident in 2021,Primary,High,Monitoring,,,,?,?,,?
R006,Incorrect manhole base level,Manhole base set below design spec,Construction,Quality,Network Infrastructure,Civil Works Team,Metro Fiber Expansion,NFX-001,Implementation,Executing,Civil Supervisor,Contractor,Week 6,Medium,High,6,Inspection found level deviation,,Reconstruct base,Adjust installation,Open,Week 7,Level survey,Quality enforcement,https://docs.example.com/manhole-level,Deviation in 2020,Primary,High,Controlling,,,,?,?,?,?
R007,Poor duct compaction,Backfill not compacted to required density,Construction,Quality,Network Infrastructure,Civil Works Team,Metro Fiber Expansion,NFX-001,Implementation,Executing,Civil Supervisor,Contractor,Week 6,Medium,High,6,Compaction test failed,,Recompact backfill,Retest density,Open,Week 7,Compaction testing,Quality enforcement,https://docs.example.com/duct-compaction,Similar in 2022,Primary,High,Controlling,,,,?,?,?,?
R008,Flooding in excavation,Heavy rain floods open trenches,Construction,Environmental,Network Infrastructure,Civil Works Team,Metro Fiber Expansion,NFX-001,Implementation,Executing,Civil Supervisor,Contractor,Week 7,Medium,High,6,Weather forecast shows heavy rain,,Install pumps,Cover trenches,Open,Week 8,Site monitoring,Environmental control,https://docs.example.com/trench-flooding,Flood case in 2021,Primary,High,Monitoring,,,,?,?,,?
R009,Improper concrete curing,Concrete not cured to spec before load,Construction,Quality,Network Infrastructure,Civil Works Team,Metro Fiber Expansion,NFX-001,Implementation,Executing,Civil Supervisor,Contractor,Week 7,Medium,High,6,Curing time insufficient,,Extend curing period,Retest strength,Open,Week 8,Strength testing,Quality enforcement,https://docs.example.com/concrete-curing,Curing issue in 2020,Primary,High,Controlling,,,,?,?,?,?
R010,Improper grounding of racks,Grounding not compliant with electrical code,Electrical,Safety,Network Infrastructure,Electrical Works Team,Metro Fiber Expansion,NFX-001,Implementation,Executing,Electrical Supervisor,Contractor,Week 8,High,High,9,Inspection found missing ground,,Install proper grounding,Retest compliance,Open,Week 9,Electrical inspection,Safety enforcement,https://docs.example.com/grounding-error,Grounding issue in 2022,Primary,High,Monitoring,,,,?,?,,?
R011,Power cable insulation failure,Insulation damaged during installation,Electrical,Quality,Network Infrastructure,Electrical Works Team,Metro Fiber Expansion,NFX-001,Implementation,Executing,Electrical Supervisor,Contractor,Week 8,Medium,High,6,Visual inspection found damage,,Replace cable,Retest insulation,Open,Week 9,Cable testing,Quality enforcement,https://docs.example.com/cable-insulation,Failure in 2021,Primary,High,Controlling,,,,?,?,?,?
R012,Delay in electrical panel installation,Panels delivered late to site,Electrical,Logistics,Network Infrastructure,Electrical Works Team,Metro Fiber Expansion,NFX-001,Implementation,Executing,Electrical Supervisor,Vendor,Week 8,Medium,Medium,4,Vendor shipment delayed,,Reschedule installation,Use backup panels,Open,Week 9,Delivery tracking,Logistics control,https://docs.example.com/panel-delay,Delay in 2020,Primary,Medium,Response Planning,,?,?,?,,?,
R013,Fiber splice loss above limit,High dB loss at splice points,Technical,Fiber,Network Infrastructure,Telecom Implementation Team,Metro Fiber Expansion,NFX-001,Implementation,Executing,Telecom Supervisor,Contractor,Week 9,Medium,High,6,OTDR test shows high loss,Optical budget calc,Re-splice fibers,Replace connectors,Open,Week 10,Optical testing,Performance tuning,https://docs.example.com/splice-loss,Similar in 2022,Primary,High,Analysis – Quantitative,,?,?,,,?,
R014,GSM antenna misalignment,Antenna not aligned to design azimuth,Technical,GSM,Network Infrastructure,Telecom Implementation Team,Metro Fiber Expansion,NFX-001,Implementation,Executing,Telecom Supervisor,Contractor,Week 9,Medium,High,6,Alignment check failed,,Realign antenna,Retest coverage,Open,Week 10,Signal testing,Quality enforcement,https://docs.example.com/antenna-misalignment,Misalignment in 2021,Primary,High,Controlling,,,,?,?,?,?
R015,Integration software bug,Software error during site integration,Technical,Integration,Network Infrastructure,Telecom Implementation Team,Metro Fiber Expansion,NFX-001,Implementation,Executing,Telecom Supervisor,Vendor,Week 10,Medium,High,6,Bug found in integration test,,Apply patch,Retest integration,Open,Week 11,Integration logs,Quality control,https://docs.example.com/integration-bug,Bug in 2020,Primary,High,Monitoring,,,,?,?,,?
R016,Failed acceptance test,Acceptance criteria not met during QA,Quality,Testing,Network Infrastructure,QA Team,Metro Fiber Expansion,NFX-001,Testing,Monitoring & Controlling,QA Lead,Stakeholders,Week 11,High,High,9,Test results below threshold,,Identify root cause,Retest after fix,Open,Week 12,Test logs,Quality enforcement,https://docs.example.com/acceptance-fail,Fail in 2022,Primary,High,Monitoring,,,,?,?,,?
R017,Missing as-built drawings,Final as-built documentation not prepared before acceptance,Quality,Documentation,Network Infrastructure,QA Team,Metro Fiber Expansion,NFX-001,Testing,Monitoring & Controlling,QA Lead,Stakeholders,Week 11,Medium,High,6,No updated drawings in repository,,Prepare as-built set,Submit for approval,Open,Week 12,Doc review,Documentation control,https://docs.example.com/missing-asbuilt,Similar gap in 2020,Primary,High,Documentation,,,,,,?,
R018,Acceptance criteria misinterpretation,Stakeholders apply incorrect acceptance standards,Quality,Compliance,Network Infrastructure,QA Team,Metro Fiber Expansion,NFX-001,Testing,Monitoring & Controlling,QA Lead,Stakeholders,Week 11,Medium,High,6,Standards mismatch noted,,Clarify acceptance checklist,Align with contract,Open,Week 12,Acceptance review,Compliance enforcement,https://docs.example.com/criteria-error,Case in 2021,Primary,High,Controlling,,,,?,?,?,?
R019,Preventive maintenance schedule gap,Maintenance plan missing critical inspections,Maintenance,Planning,Network Infrastructure,Operations Team,Metro Fiber Expansion,NFX-001,Maintenance,Closing,Maintenance Lead,Stakeholders,Week 13,Medium,Medium,4,Missing inspection tasks,,Revise schedule,Train maintenance staff,Open,Week 14,Plan review,Compliance check,https://docs.example.com/maintenance-gap,Gap in 2022,Primary,Medium,Documentation,,,,,,?,
